Date,AQI_Forecast,HRI,Location
2025-01-12,28.94670310773258,0.8954245695145326,salem
2025-01-13,28.77131382674728,0.889999154715506,salem
2025-01-14,28.77131382689376,0.8899991547200369,salem
2025-01-15,23.49166728588291,0.7266808931004379,salem
2025-01-16,19.551896276382468,0.6048097512630316,salem
2025-01-17,27.380699935718507,0.8469825168586461,salem
2025-01-18,28.77131382689376,0.8899991547200369,salem
2025-01-19,44.29515243801136,1.3702067436063794,salem
2025-01-20,23.837695372135308,0.7373847735741255,salem
2025-01-21,22.300157999506503,0.6898232694237313,salem
2025-01-22,19.33513153204945,0.5981044460972604,salem
2025-01-23,18.42365608677664,0.5699092659702203,salem
2025-01-24,26.55938852669459,0.8215764313322375,salem
2025-01-25,28.77131382689376,0.8899991547200369,salem
2025-01-26,21.73625131772181,0.6723796284016715,salem
